county_id,county_desc,party,county_total_reg,county_total_party_reg,county_pct_black,county_pct_party_black,county_pct_white,county_pct_party_white,county_pct_nonwhite,county_pct_party_nonwhite,county_avg_age,county_avg_party_age,county_pct_una,county_pct_party_election_day_lag,county_pct_party_absentee_lag,county_pct_party_early_lag,county_pct_party_turnout_lag
77,RICHMOND,Democrat,32911,14520,0.3146668287198809,0.5845730027548209,0.5901370362492784,0.3528236914600551,0.4098629637507216,0.6471763085399449,53.49129470389839,58.10227272727273,0.29856279055634893,0.22518382352941177,0.001838235294117647,0.13037330316742082,0.3706165158371041
77,RICHMOND,Republican,32911,8390,0.3146668287198809,0.03218116805721097,0.5901370362492784,0.8747318235995233,0.4098629637507216,0.12526817640047677,53.49129470389839,52.8181168057211,0.29856279055634893,0.2973137973137973,0.0022893772893772895,0.19688644688644688,0.5062576312576312
78,ROBESON,Democrat,86337,42983,0.27018543613977786,0.42484237954540166,0.28099192698379605,0.17841937510178443,0.719008073016204,0.8215806248982156,51.27655582195351,56.18102505641765,0.3197122902116126,0.1933843671432324,0.0018199557206649405,0.15297009268640474,0.36847536492926564
78,ROBESON,Republican,86337,15352,0.27018543613977786,0.03602136529442418,0.28099192698379605,0.5030614903595623,0.719008073016204,0.49693850964043773,51.27655582195351,50.947889525794686,0.3197122902116126,0.23822920976417045,0.002068680182043856,0.10815059991725279,0.3601985932974762
79,ROCKINGHAM,Democrat,70106,21134,0.18205289133597696,0.48859657424056024,0.7049753230821898,0.42888236964133625,0.29502467691781015,0.5711176303586638,55.0917753116709,59.784423204315324,0.30381137135195274,0.23067203139028364,0.003857280617164899,0.1397599175340006,0.38858776976025006
79,ROCKINGHAM,Republican,70106,27254,0.18205289133597696,0.013245762089968445,0.7049753230821898,0.8862919204520437,0.29502467691781015,0.11370807954795627,55.0917753116709,55.4256622881045,0.30381137135195274,0.2542653516665467,0.002303649845223526,0.1358073572816932,0.3993592973867972
80,ROWAN,Democrat,111131,27117,0.1606572423536187,0.49216358741748717,0.7311731200115179,0.4014087104030682,0.26882687998848204,0.5985912895969319,53.227704240940874,55.5825128148394,0.32455390485103164,0.2852806741894015,0.004785030709898586,0.13230252821025568,0.43279531495500645
80,ROWAN,Republican,111131,47113,0.1606572423536187,0.012247150468023688,0.7311731200115179,0.9171990745654066,0.26882687998848204,0.08280092543459343,53.227704240940874,55.97892301487912,0.32455390485103164,0.2931072258007975,0.0031111695368301125,0.1025590464922659,0.40388238902764995
81,RUTHERFORD,Democrat,53495,12363,0.08744742499299,0.2808379843080159,0.8163940555192074,0.6376284073444957,0.1836059444807926,0.36237159265550434,54.96908122254416,61.204481112998465,0.3401252453500327,0.252991452991453,0.004395604395604396,0.10956450956450957,0.3750915750915751
81,RUTHERFORD,Republican,53495,22623,0.08744742499299,0.009636210935773328,0.8163940555192074,0.9070415064315077,0.1836059444807926,0.09295849356849224,54.96908122254416,55.510188745966495,0.3401252453500327,0.28480270257589263,0.0024398254586402665,0.15380284333505373,0.4467226575329611
