precinctname,masters_sen_pct,lake_gov_pct,finchem_sos_pct,hamadeh_atg_pct,tvotesrepgov,magafactor,magamean
0085 BUNKER PEAK,46.236561,47.872341,38.46154,36.666668,94,.048271026,42.309277
0086 BURGESS,44.53125,55.038761,37.815125,31.707317,129,.28435072,42.273113
0087 BUTLER,37.760418,45.454544,40.65934,32.539684,396,-.14274195,39.103497
0088 CACTUS GLEN,39.622643,46.731236,32.42894,33.59375,826,-.23340139,38.094143
0089 CACTUS WREN,47.727272,46.80851,41.463413,45,47,.64088231,45.249798
0090 CAIRO,30.08596,34.078213,34.939758,24.926685,358,-2.0049176,31.007654
0091 CALAVAR,41.121494,41.896023,36.928104,31.089743,327,-.4274376,37.758842
0092 CALAVEROS,29.949238,32.432434,30.563004,25.19685,407,-2.2393377,29.535381
0093 CALYPSO,36.325966,39.487869,37.936047,26.933702,742,-.92635584,35.170895
0094 CAMBRIDGE,60,40,50,50,10,.57168704,50
0095 CAMELOT,38.938774,44.541138,40.40493,36.262798,1264,-.13841701,40.036911
0096 CAMEO,34.527973,41.53846,36.651585,25.577265,1170,-.79743123,34.573822
0097 CAMPBELL,42.049809,50.943398,44.593204,41.293533,1060,.99160951,44.719986
0098 CAMPBELL PARK,39.700375,44.366196,33.206108,30.681818,284,-.65713215,36.988625
0099 CANDLELIGHT,25.097277,46.204933,45.790554,26.861168,1054,-.83145136,35.988483
0100 CANTERBURY,31.629835,36.69355,32.327587,26.227209,744,-1.437935,31.719545
0101 CANYON,33.636364,52.252251,33.944954,36.448597,111,.43228704,39.070541
0102 CANYON RIM,41.290321,56.171284,43.810848,32.517006,794,.68090981,43.447365
0103 CANYON SPRINGS,50.27523,62.811386,53.653847,41.254753,562,2.3625524,51.998802
0104 CAPITOL SCHOOL,50,62.5,27.272728,39.130436,24,-.34442157,44.725792
0105 CARDINAL,32.758621,35.103626,31.902718,29.278643,772,-1.7021257,32.260902
0106 CAREFREE,41.739765,42.867382,39.282867,34.453125,1395,.0076027736,39.585785
0107 CARL,39.247311,44.210526,38.953487,29.508196,190,-.63706738,37.979881
0108 CARLA VISTA,46.704872,49.435028,40,31.486881,354,-.025157942,41.906696
0109 CAROL ANN,42.806183,51.494251,37.763977,35.507248,870,.55230397,41.892914
0110 CARON,41.224491,47.117298,35.294117,30.737705,503,-.22969002,38.593403
0111 CARRIAGE LANE,46.626984,52.436646,40.824741,31.975559,513,.47068879,42.965981
0112 CARVER,46.194225,46.753246,42.696629,37.047356,385,.28126776,43.172863
0113 CASHION,44.680851,56.315788,42.307693,31.868132,190,.53851026,43.793118
0114 CATAMARAN,42.167103,46.992481,42.356243,37.22826,798,.34845188,42.18602
0115 CAVE BUTTES,50.829876,53.752537,38.041004,35.775864,493,.89396793,44.599819
0116 CAVE CREEK,45.167923,48.73502,44,38.308456,1502,.7615062,44.052849
0117 CELAYA,45.936398,51.041668,43.346008,30.882353,288,.27004617,42.801605
0118 CENTENNIAL,34.666668,46.645367,43.493149,31.724138,313,-.45499453,39.132332
0119 CENTRAL HIGH,40.291264,45.023697,37.435898,34.183674,211,-.45895633,39.233635
0120 CHALLENGER,38.679245,42.201836,33.663368,32.07547,109,-.92068356,36.65498
0121 CHANDLER HEIGHTS,38.233166,43.405441,42.683853,35.164837,1433,-.069930904,39.871826
0122 CHAPARRAL,31.294964,36.878216,31.00189,25.471699,583,-1.6610285,31.161692
0123 CHAVEZ,40.816326,56,45.652172,27.083334,50,.12626579,42.387959
0124 CHEATHAM,45.876289,49.509804,41.711231,32.820515,204,.36415809,42.479462
0125 CHENEY,35.910652,35.619835,30.86758,25.757576,1210,-1.6356957,32.03891
0126 CHILTON,38.013699,44.666668,46.715328,30.357143,300,-.5114525,39.93821
0127 CHOLLA,43.432575,54.5611,41.877254,32.37925,581,.70836979,43.062546
0128 CHRISTY,37.620579,47.076923,37.333332,26.298702,325,-.28360412,37.082382
0129 CIELO,36.511375,45.416229,30.907055,28.603352,949,-.87935048,35.359505
0130 CIELO GRANDE,42.201836,49.910873,38.771591,36.044361,561,.32742575,41.732166
0131 CINCO,,,,,0,,
0132 CITRUS,29.333334,41.666668,34.806629,26.775957,384,-1.7826688,33.145645
0133 CITRUS GARDENS,39.750694,46.994537,46.6763,31.366907,732,.14080875,41.197109
0134 CITRUS GROVES,41.622105,43.75,40.595901,30.900902,1152,-.29962507,39.217228
0135 CLAY MINE,42.473118,51.336899,42.196533,33.707867,187,.33959261,42.428604
0136 CLEARVIEW,36.057693,44.378696,38.471336,31.546135,845,-.64670962,37.613464
0137 CLEARWATER,35.714287,35.01199,31.233595,23.056995,417,-2.0532529,31.254217
0138 CLIFFVIEW,42.261906,42.857143,35.179153,31.974922,343,-.68931234,38.068283
0139 CLOUD,42.722511,51.248753,42.076504,38.453388,1001,.50393498,43.62529
0140 CLOVER,29.213484,51.381214,45.142857,28,181,-.40346798,38.434387
0141 CLOVIS,40.251572,44.720497,40.410957,30.967741,161,-.26636958,39.087692
0142 CLUB WEST,42.268909,49.669422,38.680927,35.689045,1210,.16061227,41.577076
0143 COBBLE STONE,42.996742,50,42.530754,36.286201,630,.59241647,42.953423
0144 COCOPAH,30.76923,38.608696,27.675276,28.785048,575,-1.8591369,31.459562
0145 COLBY,38.380283,45.517242,42.066422,25.912409,290,-.50799119,37.96909
0146 COLDWATER RIDGE,53.719009,57.48988,48.92704,36.554623,247,1.6183245,49.172638
0147 COLONIA,41.467438,46.725239,39.929947,33.559322,1252,-.075853541,40.420486
0148 COLONNADE,32.470589,35.334873,33.838383,26.5,433,-1.7195605,32.035961
0149 COLT,44.864864,61.290321,50.306747,44.378696,186,2.365665,50.210159
0150 COLTER,31.782946,44.360901,37.5,34.615383,133,-.63685519,37.064808
0151 COMET,38.053097,51.510792,46.540882,28.224583,695,.099371947,41.082336
0152 COMMONWEALTH,41.935482,55.789474,36.57143,44.886364,190,.75423944,44.795689
0153 COMPADRE,40.939598,42.637539,39.963833,31.052631,1236,-.35822237,38.648399
0154 COMSTOCK,38.403992,44.976078,41.08527,29.551451,418,-.63976258,38.504196
0155 CONCORD,37.082066,47.64706,37.710438,29.617834,340,-.34944409,38.014351
0156 CONQUISTADOR,34.352516,42.806393,40.858208,29.724771,563,-.15563501,36.935471
0157 CONTENTION MINE,36.6782,50,37.5,30.662022,294,-.30388099,38.710056
0158 COPPER,40.408165,44.058746,35.251797,34.636871,749,-.36045143,38.588894
0159 COPPER HILLS,35.172413,40,30.858807,32.667618,745,-.99285984,34.674709
